batch_id,category,product_slug,product_name,source_path,source_filename,target_path,target_filename,detected_type,confidence,width,height,file_size_bytes,extension,contains_old_brand_filename,contains_contact_filename,action,status,notes
20260717072102-ir1o25,wire-rope-assemblies,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,image-import/wire-rope-assemblies/custom-wire-rope-cable-assembly/,custom-high-quality-7-7-galvanized-stainless88655.webp,image-import/wire-rope-assemblies/custom-wire-rope-cable-assembly/,review-original-01.webp,review,low,730,730,60978,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,wire-rope-assemblies,stainless-steel-wire-rope-assembly,Stainless Steel Wire Rope Assembly,image-import/wire-rope-assemblies/stainless-steel-wire-rope-assembly/,detail-original-01.webp,image-import/wire-rope-assemblies/stainless-steel-wire-rope-assembly/,detail-original-01.webp,detail,high,730,730,28182,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,wire-rope-assemblies,galvanized-wire-rope-assembly,Galvanized Wire Rope Assembly,image-import/wire-rope-assemblies/galvanized-wire-rope-assembly/,detail-original-01.webp,image-import/wire-rope-assemblies/galvanized-wire-rope-assembly/,detail-original-01.webp,detail,high,750,750,39726,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,wire-rope-assemblies,galvanized-wire-rope-assembly,Galvanized Wire Rope Assembly,image-import/wire-rope-assemblies/galvanized-wire-rope-assembly/,detail-original-02.webp,image-import/wire-rope-assemblies/galvanized-wire-rope-assembly/,detail-original-02.webp,detail,high,730,730,28132,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,wire-rope-assemblies,galvanized-wire-rope-assembly,Galvanized Wire Rope Assembly,image-import/wire-rope-assemblies/galvanized-wire-rope-assembly/,detail-original-03.webp,image-import/wire-rope-assemblies/galvanized-wire-rope-assembly/,detail-original-03.webp,detail,high,730,730,27936,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,wire-rope-assemblies,galvanized-wire-rope-assembly,Galvanized Wire Rope Assembly,image-import/wire-rope-assemblies/galvanized-wire-rope-assembly/,detail-original-04.webp,image-import/wire-rope-assemblies/galvanized-wire-rope-assembly/,detail-original-04.webp,detail,high,730,730,34090,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,wire-rope-assemblies,pvc-coated-wire-rope-assembly,PVC Coated Wire Rope Assembly,image-import/wire-rope-assemblies/pvc-coated-wire-rope-assembly/,detail-original-01.webp,image-import/wire-rope-assemblies/pvc-coated-wire-rope-assembly/,detail-original-01.webp,detail,high,730,730,18896,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,wire-rope-assemblies,wire-rope-assembly-with-eye-loops,Wire Rope Assembly with Eye Loops,image-import/wire-rope-assemblies/wire-rope-assembly-with-eye-loops/,detail-original-01.webp,image-import/wire-rope-assemblies/wire-rope-assembly-with-eye-loops/,detail-original-01.webp,detail,high,730,730,21136,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,wire-rope-assemblies,wire-rope-assembly-with-carabiner-hook,Wire Rope Assembly with Carabiner Hook,image-import/wire-rope-assemblies/wire-rope-assembly-with-carabiner-hook/,terminal-original-01.webp,image-import/wire-rope-assemblies/wire-rope-assembly-with-carabiner-hook/,terminal-original-01.webp,terminal,high,730,730,43228,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,wire-rope-assemblies,wire-rope-assembly-with-carabiner-hook,Wire Rope Assembly with Carabiner Hook,image-import/wire-rope-assemblies/wire-rope-assembly-with-carabiner-hook/,terminal-original-02.webp,image-import/wire-rope-assemblies/wire-rope-assembly-with-carabiner-hook/,terminal-original-02.webp,terminal,high,730,730,35900,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,wire-rope-assemblies,wire-rope-assembly-with-carabiner-hook,Wire Rope Assembly with Carabiner Hook,image-import/wire-rope-assemblies/wire-rope-assembly-with-carabiner-hook/,terminal-original-03.webp,image-import/wire-rope-assemblies/wire-rope-assembly-with-carabiner-hook/,terminal-original-03.webp,terminal,high,730,730,25000,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
